"20-30mM-1_Xylene30mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1387
301.00	0.1404
302.00	0.1421
303.00	0.1441
304.00	0.1457
305.00	0.1474
306.00	0.1489
307.00	0.1511
308.00	0.1535
309.00	0.1558
310.00	0.1577
311.00	0.1593
312.00	0.1612
313.00	0.1630
314.00	0.1647
315.00	0.1671
316.00	0.1697
317.00	0.1719
318.00	0.1742
319.00	0.1768
320.00	0.1786
321.00	0.1807
322.00	0.1827
323.00	0.1847
324.00	0.1863
325.00	0.1885
326.00	0.1906
327.00	0.1925
328.00	0.1942
329.00	0.1956
330.00	0.1967
331.00	0.1973
332.00	0.1980
333.00	0.1994
334.00	0.2010
335.00	0.2031
336.00	0.2056
337.00	0.2082
338.00	0.2102
339.00	0.2119
340.00	0.2136
341.00	0.2150
342.00	0.2163
343.00	0.2178
344.00	0.2192
345.00	0.2209
346.00	0.2222
347.00	0.2234
348.00	0.2244
349.00	0.2252
350.00	0.2259
351.00	0.2270
352.00	0.2281
353.00	0.2292
354.00	0.2302
355.00	0.2310
356.00	0.2318
357.00	0.2326
358.00	0.2333
359.00	0.2339
360.00	0.2343
361.00	0.2344
362.00	0.2341
363.00	0.2346
364.00	0.2353
365.00	0.2364
366.00	0.2377
367.00	0.2396
368.00	0.2403
369.00	0.2413
370.00	0.2424
371.00	0.2440
372.00	0.2444
373.00	0.2449
374.00	0.2453
375.00	0.2454
376.00	0.2450
377.00	0.2458
378.00	0.2468
379.00	0.2475
380.00	0.2486
381.00	0.2496
382.00	0.2505
383.00	0.2516
384.00	0.2527
385.00	0.2537
386.00	0.2549
387.00	0.2561
388.00	0.2570
389.00	0.2578
390.00	0.2588
391.00	0.2596
392.00	0.2606
393.00	0.2614
394.00	0.2621
395.00	0.2628
396.00	0.2634
397.00	0.2638
398.00	0.2643
399.00	0.2647
400.00	0.2653
401.00	0.2660
402.00	0.2669
403.00	0.2677
404.00	0.2686
405.00	0.2695
406.00	0.2703
407.00	0.2711
408.00	0.2719
409.00	0.2728
410.00	0.2735
411.00	0.2742
412.00	0.2748
413.00	0.2753
414.00	0.2759
415.00	0.2764
416.00	0.2768
417.00	0.2771
418.00	0.2773
419.00	0.2769
420.00	0.2765
421.00	0.2760
422.00	0.2753
423.00	0.2744
424.00	0.2737
425.00	0.2729
426.00	0.2721
427.00	0.2714
428.00	0.2706
429.00	0.2699
430.00	0.2691
431.00	0.2683
432.00	0.2675
433.00	0.2669
434.00	0.2663
435.00	0.2657
436.00	0.2648
437.00	0.2637
438.00	0.2622
439.00	0.2606
440.00	0.2587
441.00	0.2566
442.00	0.2546
443.00	0.2526
444.00	0.2506
445.00	0.2487
446.00	0.2469
447.00	0.2452
448.00	0.2436
449.00	0.2419
450.00	0.2404
451.00	0.2391
452.00	0.2378
453.00	0.2367
454.00	0.2357
455.00	0.2349
456.00	0.2341
457.00	0.2334
458.00	0.2329
459.00	0.2325
460.00	0.2323
461.00	0.2321
462.00	0.2322
463.00	0.2319
464.00	0.2317
465.00	0.2314
466.00	0.2312
467.00	0.2309
468.00	0.2309
469.00	0.2307
470.00	0.2306
471.00	0.2305
472.00	0.2303
473.00	0.2302
474.00	0.2303
475.00	0.2303
476.00	0.2303
477.00	0.2304
478.00	0.2304
479.00	0.2304
480.00	0.2304
481.00	0.2304
482.00	0.2305
483.00	0.2307
484.00	0.2307
485.00	0.2308
486.00	0.2308
487.00	0.2305
488.00	0.2302
489.00	0.2299
490.00	0.2298
491.00	0.2296
492.00	0.2295
493.00	0.2296
494.00	0.2296
495.00	0.2297
496.00	0.2298
497.00	0.2297
498.00	0.2296
499.00	0.2296
500.00	0.2293
501.00	0.2291
502.00	0.2289
