"20-30mM-1_Xylene20mM - RawData"
"Wavelength nm."	"Abs."
651.00	0.1257
652.00	0.1259
653.00	0.1261
654.00	0.1260
655.00	0.1260
656.00	0.1259
657.00	0.1258
658.00	0.1256
659.00	0.1255
660.00	0.1253
661.00	0.1251
662.00	0.1250
663.00	0.1249
664.00	0.1248
665.00	0.1249
666.00	0.1248
667.00	0.1247
668.00	0.1247
669.00	0.1248
670.00	0.1256
671.00	0.1261
672.00	0.1266
673.00	0.1271
674.00	0.1274
675.00	0.1270
676.00	0.1272
677.00	0.1272
678.00	0.1270
679.00	0.1271
680.00	0.1272
681.00	0.1275
682.00	0.1278
683.00	0.1281
684.00	0.1283
685.00	0.1285
686.00	0.1284
687.00	0.1286
688.00	0.1287
689.00	0.1290
690.00	0.1287
691.00	0.1292
692.00	0.1293
693.00	0.1293
694.00	0.1293
695.00	0.1298
696.00	0.1296
697.00	0.1295
698.00	0.1295
699.00	0.1296
700.00	0.1296
701.00	0.1300
702.00	0.1301
703.00	0.1305
704.00	0.1306
705.00	0.1307
706.00	0.1309
707.00	0.1310
708.00	0.1314
709.00	0.1316
710.00	0.1318
711.00	0.1317
712.00	0.1320
713.00	0.1317
714.00	0.1320
715.00	0.1322
716.00	0.1324
717.00	0.1323
718.00	0.1324
719.00	0.1324
720.00	0.1325
721.00	0.1325
722.00	0.1327
723.00	0.1327
724.00	0.1319
725.00	0.1320
726.00	0.1311
727.00	0.1312
728.00	0.1312
729.00	0.1319
730.00	0.1317
731.00	0.1326
732.00	0.1328
733.00	0.1335
734.00	0.1337
735.00	0.1338
736.00	0.1340
737.00	0.1341
738.00	0.1340
739.00	0.1343
740.00	0.1346
741.00	0.1350
742.00	0.1351
743.00	0.1353
744.00	0.1353
745.00	0.1357
746.00	0.1360
747.00	0.1359
748.00	0.1365
749.00	0.1367
750.00	0.1369
751.00	0.1372
752.00	0.1378
753.00	0.1377
754.00	0.1380
755.00	0.1381
756.00	0.1382
757.00	0.1382
758.00	0.1384
759.00	0.1386
760.00	0.1387
761.00	0.1389
762.00	0.1391
763.00	0.1395
764.00	0.1400
765.00	0.1402
766.00	0.1405
767.00	0.1408
768.00	0.1408
769.00	0.1405
770.00	0.1404
771.00	0.1402
772.00	0.1400
773.00	0.1399
774.00	0.1398
775.00	0.1396
776.00	0.1396
777.00	0.1393
778.00	0.1390
779.00	0.1386
780.00	0.1380
781.00	0.1372
782.00	0.1365
783.00	0.1360
784.00	0.1358
785.00	0.1360
786.00	0.1360
787.00	0.1357
788.00	0.1355
789.00	0.1351
790.00	0.1346
791.00	0.1340
792.00	0.1334
793.00	0.1328
794.00	0.1321
795.00	0.1310
796.00	0.1300
797.00	0.1285
798.00	0.1272
799.00	0.1260
800.00	0.1250
801.00	0.1241
802.00	0.1238
803.00	0.1229
804.00	0.1218
805.00	0.1208
806.00	0.1198
807.00	0.1191
808.00	0.1187
809.00	0.1182
810.00	0.1180
811.00	0.1180
812.00	0.1179
813.00	0.1175
814.00	0.1174
815.00	0.1170
816.00	0.1164
817.00	0.1159
818.00	0.1156
819.00	0.1151
820.00	0.1149
821.00	0.1149
822.00	0.1149
823.00	0.1148
824.00	0.1149
825.00	0.1153
826.00	0.1153
827.00	0.1154
828.00	0.1155
829.00	0.1156
830.00	0.1154
831.00	0.1158
832.00	0.1157
833.00	0.1159
834.00	0.1159
835.00	0.1158
836.00	0.1157
837.00	0.1159
838.00	0.1158
839.00	0.1159
840.00	0.1161
841.00	0.1164
842.00	0.1166
843.00	0.1169
844.00	0.1172
845.00	0.1175
846.00	0.1177
847.00	0.1178
848.00	0.1180
849.00	0.1181
850.00	0.1183
851.00	0.1183
852.00	0.1185
853.00	0.1187
854.00	0.1188
855.00	0.1190
856.00	0.1191
857.00	0.1190
858.00	0.1188
859.00	0.1186
860.00	0.1184
861.00	0.1183
862.00	0.1182
863.00	0.1183
864.00	0.1182
865.00	0.1180
866.00	0.1179
867.00	0.1178
868.00	0.1178
869.00	0.1177
870.00	0.1177
871.00	0.1175
872.00	0.1175
873.00	0.1173
874.00	0.1172
875.00	0.1171
876.00	0.1170
877.00	0.1166
878.00	0.1163
879.00	0.1159
880.00	0.1156
881.00	0.1152
882.00	0.1147
883.00	0.1140
884.00	0.1135
885.00	0.1127
886.00	0.1119
887.00	0.1115
888.00	0.1108
889.00	0.1102
890.00	0.1097
891.00	0.1089
892.00	0.1081
893.00	0.1076
894.00	0.1068
895.00	0.1060
896.00	0.1055
897.00	0.1049
898.00	0.1043
899.00	0.1037
900.00	0.1031
901.00	0.1024
902.00	0.1017
903.00	0.1011
904.00	0.1006
905.00	0.1001
906.00	0.0995
907.00	0.0991
908.00	0.0985
909.00	0.0979
910.00	0.0972
911.00	0.0968
912.00	0.0959
913.00	0.0953
914.00	0.0946
915.00	0.0942
916.00	0.0936
917.00	0.0933
918.00	0.0928
919.00	0.0924
920.00	0.0919
921.00	0.0915
922.00	0.0908
923.00	0.0902
924.00	0.0894
925.00	0.0887
926.00	0.0882
927.00	0.0878
928.00	0.0874
929.00	0.0871
930.00	0.0866
931.00	0.0860
932.00	0.0856
933.00	0.0852
934.00	0.0847
935.00	0.0845
936.00	0.0843
937.00	0.0838
938.00	0.0833
939.00	0.0828
940.00	0.0821
941.00	0.0814
942.00	0.0808
943.00	0.0803
944.00	0.0798
945.00	0.0793
946.00	0.0787
947.00	0.0784
948.00	0.0779
949.00	0.0775
950.00	0.0770
951.00	0.0767
952.00	0.0764
953.00	0.0759
954.00	0.0754
955.00	0.0748
956.00	0.0742
957.00	0.0737
958.00	0.0735
959.00	0.0732
960.00	0.0730
961.00	0.0726
962.00	0.0720
963.00	0.0714
964.00	0.0710
965.00	0.0705
966.00	0.0702
967.00	0.0696
968.00	0.0692
969.00	0.0688
970.00	0.0685
971.00	0.0681
972.00	0.0677
973.00	0.0673
974.00	0.0668
975.00	0.0662
976.00	0.0657
977.00	0.0653
978.00	0.0648
979.00	0.0643
