"20-30mM-1_Toluene30mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.2028
301.00	0.2037
302.00	0.2041
303.00	0.2046
304.00	0.2050
305.00	0.2053
306.00	0.2055
307.00	0.2064
308.00	0.2077
309.00	0.2087
310.00	0.2093
311.00	0.2099
312.00	0.2111
313.00	0.2120
314.00	0.2131
315.00	0.2150
316.00	0.2169
317.00	0.2183
318.00	0.2199
319.00	0.2217
320.00	0.2231
321.00	0.2246
322.00	0.2261
323.00	0.2275
324.00	0.2289
325.00	0.2305
326.00	0.2323
327.00	0.2342
328.00	0.2362
329.00	0.2379
330.00	0.2397
331.00	0.2409
332.00	0.2415
333.00	0.2428
334.00	0.2445
335.00	0.2465
336.00	0.2489
337.00	0.2516
338.00	0.2539
339.00	0.2561
340.00	0.2586
341.00	0.2606
342.00	0.2625
343.00	0.2646
344.00	0.2664
345.00	0.2683
346.00	0.2704
347.00	0.2725
348.00	0.2744
349.00	0.2763
350.00	0.2779
351.00	0.2798
352.00	0.2817
353.00	0.2837
354.00	0.2856
355.00	0.2874
356.00	0.2893
357.00	0.2912
358.00	0.2931
359.00	0.2952
360.00	0.2974
361.00	0.2995
362.00	0.3011
363.00	0.3035
364.00	0.3061
365.00	0.3087
366.00	0.3115
367.00	0.3148
368.00	0.3172
369.00	0.3200
370.00	0.3230
371.00	0.3267
372.00	0.3294
373.00	0.3323
374.00	0.3349
375.00	0.3374
376.00	0.3396
377.00	0.3429
378.00	0.3462
379.00	0.3495
380.00	0.3530
381.00	0.3568
382.00	0.3607
383.00	0.3652
384.00	0.3699
385.00	0.3744
386.00	0.3789
387.00	0.3833
388.00	0.3872
389.00	0.3911
390.00	0.3950
391.00	0.3988
392.00	0.4027
393.00	0.4065
394.00	0.4101
395.00	0.4136
396.00	0.4169
397.00	0.4200
398.00	0.4233
399.00	0.4264
400.00	0.4296
401.00	0.4330
402.00	0.4365
403.00	0.4402
404.00	0.4441
405.00	0.4480
406.00	0.4518
407.00	0.4557
408.00	0.4593
409.00	0.4627
410.00	0.4660
411.00	0.4688
412.00	0.4714
413.00	0.4736
414.00	0.4755
415.00	0.4769
416.00	0.4780
417.00	0.4787
418.00	0.4790
419.00	0.4789
420.00	0.4784
421.00	0.4775
422.00	0.4763
423.00	0.4747
424.00	0.4728
425.00	0.4706
426.00	0.4683
427.00	0.4658
428.00	0.4638
429.00	0.4624
430.00	0.4610
431.00	0.4595
432.00	0.4585
433.00	0.4572
434.00	0.4556
435.00	0.4545
436.00	0.4538
437.00	0.4531
438.00	0.4524
439.00	0.4516
440.00	0.4509
441.00	0.4501
442.00	0.4495
443.00	0.4491
444.00	0.4489
445.00	0.4489
446.00	0.4492
447.00	0.4494
448.00	0.4497
449.00	0.4502
450.00	0.4508
451.00	0.4517
452.00	0.4526
453.00	0.4538
454.00	0.4551
455.00	0.4566
456.00	0.4580
457.00	0.4597
458.00	0.4613
459.00	0.4630
460.00	0.4650
461.00	0.4669
462.00	0.4690
463.00	0.4706
464.00	0.4724
465.00	0.4740
466.00	0.4757
467.00	0.4773
468.00	0.4792
469.00	0.4807
470.00	0.4822
471.00	0.4838
472.00	0.4851
473.00	0.4864
474.00	0.4880
475.00	0.4894
476.00	0.4908
477.00	0.4925
478.00	0.4939
479.00	0.4954
480.00	0.4966
481.00	0.4977
482.00	0.4987
483.00	0.4998
484.00	0.5007
485.00	0.5016
486.00	0.5025
487.00	0.5031
488.00	0.5037
489.00	0.5042
490.00	0.5048
491.00	0.5052
492.00	0.5057
493.00	0.5062
494.00	0.5066
495.00	0.5069
496.00	0.5072
497.00	0.5075
498.00	0.5076
499.00	0.5076
500.00	0.5076
501.00	0.5075
502.00	0.5073
503.00	0.5070
504.00	0.5067
505.00	0.5062
506.00	0.5057
507.00	0.5053
508.00	0.5047
509.00	0.5039
510.00	0.5031
511.00	0.5023
512.00	0.5013
513.00	0.5001
514.00	0.4987
515.00	0.4974
516.00	0.4959
517.00	0.4943
518.00	0.4927
519.00	0.4912
520.00	0.4896
521.00	0.4881
522.00	0.4867
523.00	0.4852
524.00	0.4833
525.00	0.4811
526.00	0.4790
527.00	0.4769
528.00	0.4750
529.00	0.4734
530.00	0.4719
531.00	0.4705
532.00	0.4684
533.00	0.4662
534.00	0.4639
535.00	0.4618
536.00	0.4592
537.00	0.4574
538.00	0.4555
539.00	0.4539
540.00	0.4518
541.00	0.4499
542.00	0.4478
543.00	0.4457
544.00	0.4437
545.00	0.4416
546.00	0.4397
547.00	0.4377
548.00	0.4358
549.00	0.4337
550.00	0.4319
551.00	0.4301
552.00	0.4283
553.00	0.4264
554.00	0.4244
555.00	0.4222
556.00	0.4202
557.00	0.4181
558.00	0.4159
559.00	0.4138
560.00	0.4117
561.00	0.4097
562.00	0.4077
563.00	0.4058
564.00	0.4039
