"20-30mM-1_THF20mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.2890
301.00	0.2896
302.00	0.2900
303.00	0.2904
304.00	0.2906
305.00	0.2909
306.00	0.2913
307.00	0.2923
308.00	0.2937
309.00	0.2952
310.00	0.2964
311.00	0.2976
312.00	0.2996
313.00	0.3015
314.00	0.3037
315.00	0.3067
316.00	0.3101
317.00	0.3127
318.00	0.3156
319.00	0.3182
320.00	0.3208
321.00	0.3234
322.00	0.3262
323.00	0.3290
324.00	0.3322
325.00	0.3352
326.00	0.3383
327.00	0.3416
328.00	0.3449
329.00	0.3483
330.00	0.3516
331.00	0.3545
332.00	0.3568
333.00	0.3600
334.00	0.3632
335.00	0.3667
336.00	0.3709
337.00	0.3755
338.00	0.3791
339.00	0.3827
340.00	0.3864
341.00	0.3899
342.00	0.3935
343.00	0.3973
344.00	0.4011
345.00	0.4050
346.00	0.4085
347.00	0.4122
348.00	0.4155
349.00	0.4189
350.00	0.4222
351.00	0.4258
352.00	0.4294
353.00	0.4330
354.00	0.4365
355.00	0.4400
356.00	0.4436
357.00	0.4472
358.00	0.4508
359.00	0.4546
360.00	0.4583
361.00	0.4621
362.00	0.4654
363.00	0.4698
364.00	0.4743
365.00	0.4793
366.00	0.4845
367.00	0.4903
368.00	0.4954
369.00	0.5009
370.00	0.5066
371.00	0.5129
372.00	0.5184
373.00	0.5244
374.00	0.5303
375.00	0.5364
376.00	0.5422
377.00	0.5495
378.00	0.5569
379.00	0.5645
380.00	0.5726
381.00	0.5811
382.00	0.5895
383.00	0.5987
384.00	0.6083
385.00	0.6176
386.00	0.6272
387.00	0.6367
388.00	0.6455
389.00	0.6540
390.00	0.6624
391.00	0.6705
392.00	0.6786
393.00	0.6863
394.00	0.6938
395.00	0.7012
396.00	0.7082
397.00	0.7152
398.00	0.7220
399.00	0.7289
400.00	0.7359
401.00	0.7434
402.00	0.7509
403.00	0.7588
404.00	0.7667
405.00	0.7746
406.00	0.7824
407.00	0.7902
408.00	0.7977
409.00	0.8048
410.00	0.8115
411.00	0.8176
412.00	0.8231
413.00	0.8277
414.00	0.8316
415.00	0.8344
416.00	0.8363
417.00	0.8373
418.00	0.8374
419.00	0.8366
420.00	0.8354
421.00	0.8334
422.00	0.8306
423.00	0.8274
424.00	0.8235
425.00	0.8191
426.00	0.8148
427.00	0.8104
428.00	0.8063
429.00	0.8023
430.00	0.7987
431.00	0.7957
432.00	0.7931
433.00	0.7910
434.00	0.7896
435.00	0.7887
436.00	0.7883
437.00	0.7882
438.00	0.7886
439.00	0.7893
440.00	0.7903
441.00	0.7915
442.00	0.7931
443.00	0.7951
444.00	0.7973
445.00	0.7998
446.00	0.8025
447.00	0.8056
448.00	0.8088
449.00	0.8123
450.00	0.8161
451.00	0.8201
452.00	0.8242
453.00	0.8287
454.00	0.8332
455.00	0.8377
456.00	0.8424
457.00	0.8470
458.00	0.8515
459.00	0.8562
460.00	0.8610
461.00	0.8659
462.00	0.8709
463.00	0.8756
464.00	0.8806
465.00	0.8853
466.00	0.8901
467.00	0.8946
468.00	0.8994
469.00	0.9037
470.00	0.9079
471.00	0.9120
472.00	0.9162
473.00	0.9200
474.00	0.9240
475.00	0.9280
476.00	0.9318
477.00	0.9356
478.00	0.9393
479.00	0.9429
480.00	0.9462
481.00	0.9493
482.00	0.9524
483.00	0.9554
484.00	0.9579
485.00	0.9601
486.00	0.9623
487.00	0.9639
488.00	0.9654
489.00	0.9671
490.00	0.9686
491.00	0.9700
492.00	0.9713
493.00	0.9724
494.00	0.9735
495.00	0.9747
496.00	0.9758
497.00	0.9768
498.00	0.9778
499.00	0.9786
500.00	0.9791
501.00	0.9795
502.00	0.9795
503.00	0.9793
504.00	0.9790
505.00	0.9788
506.00	0.9780
507.00	0.9772
508.00	0.9763
509.00	0.9750
510.00	0.9733
511.00	0.9717
512.00	0.9700
513.00	0.9678
514.00	0.9655
515.00	0.9629
516.00	0.9600
517.00	0.9571
518.00	0.9540
519.00	0.9511
520.00	0.9481
521.00	0.9451
522.00	0.9420
523.00	0.9388
524.00	0.9352
525.00	0.9315
526.00	0.9280
527.00	0.9243
528.00	0.9209
529.00	0.9175
530.00	0.9145
531.00	0.9103
532.00	0.9064
533.00	0.9023
534.00	0.8982
535.00	0.8937
536.00	0.8903
537.00	0.8870
538.00	0.8837
539.00	0.8803
540.00	0.8765
541.00	0.8726
542.00	0.8685
543.00	0.8641
544.00	0.8601
545.00	0.8560
546.00	0.8521
547.00	0.8482
548.00	0.8444
549.00	0.8403
550.00	0.8366
551.00	0.8328
552.00	0.8286
553.00	0.8244
554.00	0.8202
555.00	0.8159
556.00	0.8116
557.00	0.8075
558.00	0.8034
559.00	0.7993
560.00	0.7951
561.00	0.7908
562.00	0.7866
563.00	0.7826
564.00	0.7785
565.00	0.7741
566.00	0.7699
567.00	0.7654
568.00	0.7606
569.00	0.7559
570.00	0.7517
571.00	0.7473
572.00	0.7431
573.00	0.7388
574.00	0.7343
575.00	0.7294
576.00	0.7245
577.00	0.7195
578.00	0.7147
579.00	0.7100
580.00	0.7052
581.00	0.7005
582.00	0.6957
583.00	0.6908
584.00	0.6858
585.00	0.6807
586.00	0.6755
587.00	0.6704
588.00	0.6653
589.00	0.6602
590.00	0.6551
591.00	0.6502
592.00	0.6450
593.00	0.6398
594.00	0.6346
595.00	0.6297
596.00	0.6246
597.00	0.6196
598.00	0.6147
599.00	0.6098
600.00	0.6048
601.00	0.5999
602.00	0.5953
603.00	0.5906
604.00	0.5858
605.00	0.5811
606.00	0.5765
607.00	0.5721
608.00	0.5679
609.00	0.5639
610.00	0.5602
611.00	0.5563
612.00	0.5525
613.00	0.5486
614.00	0.5449
615.00	0.5413
616.00	0.5381
617.00	0.5352
618.00	0.5324
619.00	0.5295
620.00	0.5265
621.00	0.5239
622.00	0.5212
623.00	0.5190
624.00	0.5168
625.00	0.5150
626.00	0.5132
627.00	0.5116
628.00	0.5098
629.00	0.5084
630.00	0.5068
631.00	0.5051
632.00	0.5034
633.00	0.5020
634.00	0.5007
635.00	0.4997
636.00	0.4987
637.00	0.4983
638.00	0.4983
639.00	0.4978
640.00	0.4970
641.00	0.4964
642.00	0.4957
643.00	0.4952
644.00	0.4948
645.00	0.4948
646.00	0.4948
647.00	0.4949
648.00	0.4948
649.00	0.4952
650.00	0.4955
651.00	0.4960
652.00	0.4964
653.00	0.4968
654.00	0.4972
655.00	0.4979
656.00	0.4985
657.00	0.4994
658.00	0.5002
659.00	0.5007
660.00	0.5011
661.00	0.5015
662.00	0.5018
663.00	0.5020
664.00	0.5026
665.00	0.5033
666.00	0.5040
667.00	0.5047
668.00	0.5055
669.00	0.5064
670.00	0.5082
671.00	0.5093
672.00	0.5105
673.00	0.5121
674.00	0.5135
675.00	0.5141
676.00	0.5152
677.00	0.5163
678.00	0.5173
679.00	0.5183
680.00	0.5195
681.00	0.5207
682.00	0.5219
683.00	0.5231
684.00	0.5242
685.00	0.5250
686.00	0.5258
687.00	0.5266
688.00	0.5271
689.00	0.5275
690.00	0.5278
691.00	0.5289
692.00	0.5290
693.00	0.5295
694.00	0.5300
695.00	0.5309
696.00	0.5305
697.00	0.5313
698.00	0.5314
699.00	0.5315
700.00	0.5316
701.00	0.5323
702.00	0.5327
703.00	0.5332
704.00	0.5336
705.00	0.5341
706.00	0.5343
707.00	0.5342
708.00	0.5347
709.00	0.5349
710.00	0.5352
711.00	0.5352
712.00	0.5357
713.00	0.5357
714.00	0.5361
715.00	0.5364
716.00	0.5367
717.00	0.5369
