"20-30mM-1_THF30mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.3006
301.00	0.3014
302.00	0.3021
303.00	0.3029
304.00	0.3030
305.00	0.3034
306.00	0.3038
307.00	0.3049
308.00	0.3062
309.00	0.3078
310.00	0.3090
311.00	0.3103
312.00	0.3117
313.00	0.3131
314.00	0.3147
315.00	0.3172
316.00	0.3198
317.00	0.3220
318.00	0.3245
319.00	0.3274
320.00	0.3298
321.00	0.3322
322.00	0.3346
323.00	0.3372
324.00	0.3394
325.00	0.3420
326.00	0.3446
327.00	0.3471
328.00	0.3497
329.00	0.3525
330.00	0.3554
331.00	0.3579
332.00	0.3602
333.00	0.3630
334.00	0.3660
335.00	0.3691
336.00	0.3729
337.00	0.3770
338.00	0.3803
339.00	0.3837
340.00	0.3873
341.00	0.3908
342.00	0.3943
343.00	0.3982
344.00	0.4018
345.00	0.4056
346.00	0.4091
347.00	0.4126
348.00	0.4159
349.00	0.4193
350.00	0.4224
351.00	0.4259
352.00	0.4295
353.00	0.4331
354.00	0.4369
355.00	0.4407
356.00	0.4446
357.00	0.4484
358.00	0.4524
359.00	0.4565
360.00	0.4608
361.00	0.4649
362.00	0.4686
363.00	0.4734
364.00	0.4783
365.00	0.4835
366.00	0.4891
367.00	0.4954
368.00	0.5010
369.00	0.5070
370.00	0.5131
371.00	0.5200
372.00	0.5261
373.00	0.5324
374.00	0.5386
375.00	0.5450
376.00	0.5513
377.00	0.5591
378.00	0.5672
379.00	0.5756
380.00	0.5844
381.00	0.5934
382.00	0.6022
383.00	0.6115
384.00	0.6212
385.00	0.6308
386.00	0.6405
387.00	0.6503
388.00	0.6597
389.00	0.6684
390.00	0.6769
391.00	0.6851
392.00	0.6930
393.00	0.7004
394.00	0.7075
395.00	0.7144
396.00	0.7208
397.00	0.7272
398.00	0.7336
399.00	0.7399
400.00	0.7466
401.00	0.7535
402.00	0.7608
403.00	0.7682
404.00	0.7759
405.00	0.7832
406.00	0.7905
407.00	0.7975
408.00	0.8040
409.00	0.8102
410.00	0.8158
411.00	0.8209
412.00	0.8250
413.00	0.8283
414.00	0.8308
415.00	0.8325
416.00	0.8330
417.00	0.8326
418.00	0.8315
419.00	0.8295
420.00	0.8269
421.00	0.8236
422.00	0.8199
423.00	0.8152
424.00	0.8099
425.00	0.8043
426.00	0.7987
427.00	0.7930
428.00	0.7875
429.00	0.7822
430.00	0.7772
431.00	0.7727
432.00	0.7685
433.00	0.7654
434.00	0.7624
435.00	0.7601
436.00	0.7581
437.00	0.7566
438.00	0.7550
439.00	0.7539
440.00	0.7531
441.00	0.7524
442.00	0.7520
443.00	0.7520
444.00	0.7522
445.00	0.7527
446.00	0.7537
447.00	0.7549
448.00	0.7565
449.00	0.7583
450.00	0.7606
451.00	0.7629
452.00	0.7654
453.00	0.7681
454.00	0.7710
455.00	0.7739
456.00	0.7771
457.00	0.7805
458.00	0.7839
459.00	0.7875
460.00	0.7912
461.00	0.7950
462.00	0.7988
463.00	0.8023
464.00	0.8059
465.00	0.8093
