"20-30mM-1_Toluene20mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.1367
301.00	0.1372
302.00	0.1374
303.00	0.1376
304.00	0.1375
305.00	0.1377
306.00	0.1377
307.00	0.1380
308.00	0.1388
309.00	0.1397
310.00	0.1402
311.00	0.1407
312.00	0.1417
313.00	0.1426
314.00	0.1437
315.00	0.1454
316.00	0.1474
317.00	0.1492
318.00	0.1510
319.00	0.1530
320.00	0.1546
321.00	0.1563
322.00	0.1579
323.00	0.1598
324.00	0.1613
325.00	0.1632
326.00	0.1651
327.00	0.1671
328.00	0.1689
329.00	0.1708
330.00	0.1727
331.00	0.1742
332.00	0.1755
333.00	0.1774
334.00	0.1794
335.00	0.1817
336.00	0.1845
337.00	0.1875
338.00	0.1899
339.00	0.1924
340.00	0.1949
341.00	0.1969
342.00	0.1989
343.00	0.2010
344.00	0.2028
345.00	0.2048
346.00	0.2068
347.00	0.2087
348.00	0.2105
349.00	0.2122
350.00	0.2137
351.00	0.2156
352.00	0.2174
353.00	0.2192
354.00	0.2208
355.00	0.2223
356.00	0.2237
357.00	0.2250
358.00	0.2263
359.00	0.2278
360.00	0.2293
361.00	0.2306
362.00	0.2314
363.00	0.2332
364.00	0.2351
365.00	0.2372
366.00	0.2395
367.00	0.2424
368.00	0.2443
369.00	0.2465
370.00	0.2487
371.00	0.2515
372.00	0.2534
373.00	0.2554
374.00	0.2574
375.00	0.2592
376.00	0.2606
377.00	0.2630
378.00	0.2655
379.00	0.2681
380.00	0.2712
381.00	0.2743
382.00	0.2773
383.00	0.2808
384.00	0.2842
385.00	0.2876
386.00	0.2911
387.00	0.2949
388.00	0.2983
389.00	0.3016
390.00	0.3049
391.00	0.3082
392.00	0.3114
393.00	0.3145
394.00	0.3176
395.00	0.3206
396.00	0.3233
397.00	0.3261
398.00	0.3286
399.00	0.3313
400.00	0.3341
401.00	0.3371
402.00	0.3401
403.00	0.3435
404.00	0.3467
405.00	0.3500
406.00	0.3532
407.00	0.3565
408.00	0.3596
409.00	0.3627
410.00	0.3655
411.00	0.3681
412.00	0.3704
413.00	0.3725
414.00	0.3744
415.00	0.3759
416.00	0.3772
417.00	0.3782
418.00	0.3788
419.00	0.3789
420.00	0.3787
421.00	0.3781
422.00	0.3772
423.00	0.3760
424.00	0.3745
425.00	0.3731
426.00	0.3715
427.00	0.3700
428.00	0.3684
429.00	0.3670
430.00	0.3657
431.00	0.3647
432.00	0.3638
433.00	0.3632
434.00	0.3629
435.00	0.3629
436.00	0.3630
437.00	0.3632
438.00	0.3636
439.00	0.3641
440.00	0.3645
441.00	0.3649
442.00	0.3656
443.00	0.3665
444.00	0.3675
445.00	0.3690
446.00	0.3708
447.00	0.3726
448.00	0.3743
449.00	0.3760
450.00	0.3774
451.00	0.3794
452.00	0.3812
453.00	0.3833
454.00	0.3856
455.00	0.3880
456.00	0.3901
457.00	0.3925
458.00	0.3949
459.00	0.3972
460.00	0.3995
461.00	0.4017
462.00	0.4040
463.00	0.4058
464.00	0.4078
465.00	0.4095
466.00	0.4112
467.00	0.4126
468.00	0.4143
469.00	0.4158
470.00	0.4173
471.00	0.4187
472.00	0.4202
473.00	0.4216
474.00	0.4231
475.00	0.4249
476.00	0.4267
477.00	0.4288
478.00	0.4306
479.00	0.4325
480.00	0.4343
481.00	0.4360
482.00	0.4376
483.00	0.4393
484.00	0.4408
485.00	0.4419
486.00	0.4429
487.00	0.4436
488.00	0.4443
489.00	0.4450
490.00	0.4458
491.00	0.4466
492.00	0.4476
493.00	0.4484
494.00	0.4491
495.00	0.4496
496.00	0.4499
497.00	0.4502
498.00	0.4503
499.00	0.4505
500.00	0.4507
501.00	0.4510
502.00	0.4509
503.00	0.4510
504.00	0.4509
505.00	0.4509
506.00	0.4506
507.00	0.4501
508.00	0.4496
509.00	0.4489
510.00	0.4480
511.00	0.4471
512.00	0.4462
513.00	0.4450
514.00	0.4438
515.00	0.4427
516.00	0.4413
517.00	0.4399
518.00	0.4384
519.00	0.4370
520.00	0.4356
521.00	0.4342
522.00	0.4328
523.00	0.4313
524.00	0.4296
525.00	0.4278
526.00	0.4261
527.00	0.4242
528.00	0.4225
529.00	0.4214
530.00	0.4206
531.00	0.4189
532.00	0.4171
533.00	0.4154
534.00	0.4132
535.00	0.4111
536.00	0.4095
537.00	0.4077
538.00	0.4059
539.00	0.4041
540.00	0.4017
541.00	0.3994
542.00	0.3975
543.00	0.3954
544.00	0.3935
545.00	0.3914
546.00	0.3896
547.00	0.3878
548.00	0.3862
549.00	0.3842
550.00	0.3825
551.00	0.3806
552.00	0.3788
553.00	0.3768
554.00	0.3748
555.00	0.3729
556.00	0.3710
557.00	0.3691
558.00	0.3673
559.00	0.3656
560.00	0.3636
561.00	0.3618
562.00	0.3599
563.00	0.3581
564.00	0.3562
565.00	0.3544
566.00	0.3524
567.00	0.3502
568.00	0.3480
569.00	0.3458
570.00	0.3438
571.00	0.3417
572.00	0.3399
573.00	0.3380
574.00	0.3359
575.00	0.3336
576.00	0.3312
577.00	0.3287
578.00	0.3263
579.00	0.3241
580.00	0.3219
581.00	0.3200
582.00	0.3178
583.00	0.3156
584.00	0.3135
585.00	0.3112
586.00	0.3089
587.00	0.3067
588.00	0.3044
589.00	0.3020
590.00	0.2997
591.00	0.2976
592.00	0.2955
593.00	0.2933
594.00	0.2911
595.00	0.2888
596.00	0.2864
597.00	0.2838
598.00	0.2814
599.00	0.2792
600.00	0.2770
601.00	0.2751
602.00	0.2731
603.00	0.2713
604.00	0.2693
605.00	0.2672
606.00	0.2649
607.00	0.2628
608.00	0.2607
609.00	0.2590
610.00	0.2575
611.00	0.2559
612.00	0.2542
613.00	0.2523
614.00	0.2505
615.00	0.2488
616.00	0.2475
617.00	0.2464
618.00	0.2451
619.00	0.2437
620.00	0.2421
621.00	0.2408
622.00	0.2397
623.00	0.2390
624.00	0.2381
625.00	0.2373
626.00	0.2362
627.00	0.2351
628.00	0.2340
629.00	0.2335
630.00	0.2329
631.00	0.2322
632.00	0.2313
633.00	0.2305
634.00	0.2295
635.00	0.2289
636.00	0.2283
637.00	0.2283
638.00	0.2283
639.00	0.2281
640.00	0.2277
641.00	0.2274
642.00	0.2268
643.00	0.2262
644.00	0.2259
645.00	0.2258
646.00	0.2258
647.00	0.2258
648.00	0.2258
649.00	0.2259
650.00	0.2260
651.00	0.2262
652.00	0.2262
653.00	0.2263
654.00	0.2263
655.00	0.2264
656.00	0.2265
657.00	0.2269
658.00	0.2270
659.00	0.2273
660.00	0.2272
661.00	0.2272
662.00	0.2272
663.00	0.2273
664.00	0.2273
665.00	0.2275
666.00	0.2271
667.00	0.2273
668.00	0.2274
669.00	0.2278
670.00	0.2290
671.00	0.2303
672.00	0.2311
673.00	0.2321
674.00	0.2328
675.00	0.2326
676.00	0.2330
677.00	0.2332
678.00	0.2334
679.00	0.2336
680.00	0.2341
681.00	0.2346
682.00	0.2352
683.00	0.2359
684.00	0.2365
685.00	0.2369
686.00	0.2370
687.00	0.2375
688.00	0.2377
689.00	0.2379
690.00	0.2379
691.00	0.2386
692.00	0.2387
693.00	0.2388
694.00	0.2392
695.00	0.2398
696.00	0.2395
697.00	0.2395
698.00	0.2395
699.00	0.2395
700.00	0.2395
701.00	0.2400
702.00	0.2403
703.00	0.2408
704.00	0.2409
705.00	0.2412
706.00	0.2411
707.00	0.2412
708.00	0.2414
709.00	0.2417
710.00	0.2420
711.00	0.2421
712.00	0.2425
713.00	0.2426
714.00	0.2429
715.00	0.2431
716.00	0.2434
717.00	0.2433
718.00	0.2434
719.00	0.2435
720.00	0.2437
721.00	0.2438
722.00	0.2441
723.00	0.2444
724.00	0.2439
725.00	0.2443
726.00	0.2440
727.00	0.2443
728.00	0.2444
729.00	0.2452
730.00	0.2453
731.00	0.2465
732.00	0.2472
733.00	0.2480
734.00	0.2486
735.00	0.2492
736.00	0.2496
737.00	0.2500
738.00	0.2506
739.00	0.2514
740.00	0.2523
741.00	0.2535
742.00	0.2541
743.00	0.2548
744.00	0.2555
745.00	0.2564
746.00	0.2569
747.00	0.2575
748.00	0.2585
749.00	0.2590
750.00	0.2596
751.00	0.2602
752.00	0.2612
753.00	0.2614
754.00	0.2622
755.00	0.2628
756.00	0.2636
757.00	0.2645
758.00	0.2650
759.00	0.2656
760.00	0.2661
761.00	0.2663
762.00	0.2665
763.00	0.2673
764.00	0.2678
765.00	0.2683
766.00	0.2688
767.00	0.2692
768.00	0.2693
769.00	0.2691
770.00	0.2687
771.00	0.2684
772.00	0.2680
773.00	0.2676
774.00	0.2672
775.00	0.2665
776.00	0.2661
777.00	0.2654
778.00	0.2646
779.00	0.2638
780.00	0.2628
781.00	0.2616
782.00	0.2606
783.00	0.2596
784.00	0.2592
785.00	0.2589
786.00	0.2583
787.00	0.2575
788.00	0.2568
789.00	0.2558
790.00	0.2548
791.00	0.2537
792.00	0.2526
793.00	0.2515
794.00	0.2502
795.00	0.2488
796.00	0.2474
797.00	0.2457
798.00	0.2440
799.00	0.2425
800.00	0.2409
801.00	0.2396
802.00	0.2387
803.00	0.2377
804.00	0.2364
805.00	0.2354
806.00	0.2342
807.00	0.2329
808.00	0.2319
809.00	0.2314
810.00	0.2306
811.00	0.2301
812.00	0.2296
813.00	0.2290
814.00	0.2283
815.00	0.2280
816.00	0.2274
817.00	0.2270
818.00	0.2267
819.00	0.2267
820.00	0.2267
821.00	0.2267
822.00	0.2269
823.00	0.2270
824.00	0.2267
825.00	0.2269
826.00	0.2272
827.00	0.2275
828.00	0.2278
829.00	0.2282
830.00	0.2285
831.00	0.2293
832.00	0.2296
833.00	0.2303
834.00	0.2308
835.00	0.2313
836.00	0.2318
837.00	0.2326
838.00	0.2334
839.00	0.2343
840.00	0.2351
841.00	0.2361
842.00	0.2370
843.00	0.2378
844.00	0.2388
845.00	0.2398
