"20-30mM-1_CF30mM - RawData"
"Wavelength nm."	"Abs."
651.00	0.1767
652.00	0.1765
653.00	0.1765
654.00	0.1763
655.00	0.1762
656.00	0.1761
657.00	0.1762
658.00	0.1764
659.00	0.1769
660.00	0.1773
661.00	0.1775
662.00	0.1776
663.00	0.1776
664.00	0.1774
665.00	0.1773
666.00	0.1776
667.00	0.1777
668.00	0.1778
669.00	0.1779
670.00	0.1787
671.00	0.1788
672.00	0.1790
673.00	0.1794
674.00	0.1796
675.00	0.1789
676.00	0.1790
677.00	0.1791
678.00	0.1790
679.00	0.1793
680.00	0.1799
681.00	0.1800
682.00	0.1804
683.00	0.1809
684.00	0.1809
685.00	0.1806
686.00	0.1808
687.00	0.1809
688.00	0.1808
689.00	0.1809
690.00	0.1807
691.00	0.1811
692.00	0.1812
693.00	0.1813
694.00	0.1815
695.00	0.1820
696.00	0.1816
697.00	0.1814
698.00	0.1811
699.00	0.1810
700.00	0.1809
701.00	0.1814
702.00	0.1815
703.00	0.1818
704.00	0.1819
705.00	0.1822
706.00	0.1824
707.00	0.1826
708.00	0.1828
709.00	0.1831
710.00	0.1832
711.00	0.1829
712.00	0.1830
713.00	0.1831
714.00	0.1833
715.00	0.1833
716.00	0.1833
717.00	0.1831
718.00	0.1829
719.00	0.1826
720.00	0.1829
721.00	0.1836
722.00	0.1843
723.00	0.1845
724.00	0.1842
725.00	0.1841
726.00	0.1829
727.00	0.1826
728.00	0.1825
729.00	0.1831
730.00	0.1831
731.00	0.1841
732.00	0.1846
733.00	0.1853
734.00	0.1856
735.00	0.1857
736.00	0.1857
737.00	0.1856
738.00	0.1857
739.00	0.1864
740.00	0.1869
741.00	0.1876
742.00	0.1880
743.00	0.1883
744.00	0.1884
745.00	0.1888
746.00	0.1893
747.00	0.1897
748.00	0.1907
749.00	0.1911
750.00	0.1917
751.00	0.1920
752.00	0.1926
753.00	0.1925
754.00	0.1931
755.00	0.1934
756.00	0.1938
757.00	0.1941
758.00	0.1945
759.00	0.1946
760.00	0.1949
761.00	0.1953
762.00	0.1958
763.00	0.1963
764.00	0.1967
765.00	0.1970
766.00	0.1974
767.00	0.1974
768.00	0.1973
769.00	0.1973
770.00	0.1969
771.00	0.1967
772.00	0.1964
773.00	0.1962
774.00	0.1959
775.00	0.1961
776.00	0.1950
777.00	0.1947
778.00	0.1943
779.00	0.1939
780.00	0.1927
781.00	0.1927
782.00	0.1919
783.00	0.1912
784.00	0.1909
785.00	0.1908
786.00	0.1902
787.00	0.1898
788.00	0.1895
789.00	0.1889
790.00	0.1881
791.00	0.1874
792.00	0.1866
793.00	0.1856
794.00	0.1845
795.00	0.1834
796.00	0.1822
797.00	0.1806
798.00	0.1791
799.00	0.1774
800.00	0.1760
801.00	0.1747
802.00	0.1738
803.00	0.1726
804.00	0.1716
805.00	0.1704
806.00	0.1693
807.00	0.1683
808.00	0.1675
809.00	0.1667
810.00	0.1660
811.00	0.1651
812.00	0.1645
813.00	0.1637
814.00	0.1636
815.00	0.1632
816.00	0.1628
817.00	0.1623
818.00	0.1622
819.00	0.1617
820.00	0.1615
821.00	0.1616
822.00	0.1617
823.00	0.1616
824.00	0.1615
825.00	0.1615
826.00	0.1614
827.00	0.1615
828.00	0.1616
829.00	0.1618
830.00	0.1620
831.00	0.1626
832.00	0.1626
833.00	0.1630
834.00	0.1630
835.00	0.1632
836.00	0.1634
837.00	0.1637
838.00	0.1641
839.00	0.1645
840.00	0.1649
841.00	0.1655
842.00	0.1660
843.00	0.1665
844.00	0.1672
845.00	0.1678
846.00	0.1685
847.00	0.1691
848.00	0.1697
849.00	0.1702
850.00	0.1709
851.00	0.1713
852.00	0.1717
853.00	0.1721
854.00	0.1726
855.00	0.1726
856.00	0.1727
857.00	0.1729
858.00	0.1729
859.00	0.1728
860.00	0.1730
861.00	0.1732
862.00	0.1733
863.00	0.1735
864.00	0.1736
865.00	0.1735
866.00	0.1734
867.00	0.1735
868.00	0.1737
869.00	0.1733
870.00	0.1732
871.00	0.1731
872.00	0.1729
873.00	0.1725
874.00	0.1728
875.00	0.1728
876.00	0.1726
877.00	0.1723
878.00	0.1717
879.00	0.1710
880.00	0.1701
881.00	0.1693
882.00	0.1685
883.00	0.1676
884.00	0.1667
885.00	0.1659
886.00	0.1651
887.00	0.1641
888.00	0.1632
889.00	0.1621
890.00	0.1610
891.00	0.1598
892.00	0.1586
893.00	0.1574
894.00	0.1563
895.00	0.1553
896.00	0.1543
897.00	0.1533
898.00	0.1522
899.00	0.1513
900.00	0.1502
901.00	0.1491
902.00	0.1480
903.00	0.1470
904.00	0.1460
905.00	0.1450
906.00	0.1441
907.00	0.1434
908.00	0.1424
909.00	0.1414
910.00	0.1406
911.00	0.1397
912.00	0.1387
913.00	0.1378
914.00	0.1370
915.00	0.1361
916.00	0.1351
917.00	0.1343
918.00	0.1335
919.00	0.1327
920.00	0.1320
921.00	0.1313
922.00	0.1305
923.00	0.1295
924.00	0.1285
925.00	0.1274
926.00	0.1266
927.00	0.1257
928.00	0.1249
929.00	0.1242
930.00	0.1234
931.00	0.1226
932.00	0.1218
933.00	0.1209
934.00	0.1203
935.00	0.1196
936.00	0.1188
937.00	0.1183
938.00	0.1180
939.00	0.1172
940.00	0.1167
941.00	0.1162
942.00	0.1154
943.00	0.1145
944.00	0.1137
945.00	0.1129
946.00	0.1120
947.00	0.1113
948.00	0.1108
949.00	0.1102
950.00	0.1096
951.00	0.1092
952.00	0.1084
953.00	0.1077
954.00	0.1070
955.00	0.1062
956.00	0.1055
957.00	0.1048
958.00	0.1041
959.00	0.1034
960.00	0.1030
961.00	0.1023
962.00	0.1018
963.00	0.1012
964.00	0.1007
965.00	0.1000
966.00	0.0994
967.00	0.0986
968.00	0.0978
969.00	0.0971
970.00	0.0965
971.00	0.0960
972.00	0.0955
973.00	0.0951
974.00	0.0945
975.00	0.0939
976.00	0.0932
977.00	0.0927
978.00	0.0919
979.00	0.0916
980.00	0.0909
981.00	0.0903
982.00	0.0899
983.00	0.0893
984.00	0.0886
985.00	0.0883
986.00	0.0879
987.00	0.0872
988.00	0.0870
989.00	0.0863
990.00	0.0857
991.00	0.0851
992.00	0.0845
993.00	0.0839
994.00	0.0835
995.00	0.0831
996.00	0.0827
997.00	0.0822
998.00	0.0816
999.00	0.0810
1000.00	0.0803
1001.00	0.0795
1002.00	0.0790
1003.00	0.0784
1004.00	0.0781
1005.00	0.0776
1006.00	0.0774
1007.00	0.0768
1008.00	0.0764
1009.00	0.0757
1010.00	0.0754
1011.00	0.0747
1012.00	0.0742
1013.00	0.0738
1014.00	0.0731
1015.00	0.0726
1016.00	0.0720
1017.00	0.0717
1018.00	0.0712
1019.00	0.0710
1020.00	0.0708
1021.00	0.0704
1022.00	0.0701
1023.00	0.0697
1024.00	0.0692
1025.00	0.0684
1026.00	0.0681
1027.00	0.0674
1028.00	0.0670
1029.00	0.0666
1030.00	0.0664
1031.00	0.0659
1032.00	0.0656
1033.00	0.0651
1034.00	0.0648
1035.00	0.0643
1036.00	0.0639
1037.00	0.0635
1038.00	0.0630
1039.00	0.0626
1040.00	0.0622
1041.00	0.0620
1042.00	0.0618
1043.00	0.0615
1044.00	0.0611
1045.00	0.0609
1046.00	0.0604
1047.00	0.0599
1048.00	0.0596
1049.00	0.0592
1050.00	0.0587
1051.00	0.0585
1052.00	0.0582
1053.00	0.0577
1054.00	0.0575
1055.00	0.0574
1056.00	0.0569
1057.00	0.0569
1058.00	0.0568
1059.00	0.0564
1060.00	0.0560
1061.00	0.0559
1062.00	0.0555
1063.00	0.0550
1064.00	0.0548
1065.00	0.0546
1066.00	0.0542
1067.00	0.0540
1068.00	0.0539
1069.00	0.0535
1070.00	0.0531
1071.00	0.0528
1072.00	0.0524
1073.00	0.0519
1074.00	0.0518
1075.00	0.0512
1076.00	0.0510
1077.00	0.0507
1078.00	0.0505
1079.00	0.0503
1080.00	0.0504
1081.00	0.0503
1082.00	0.0500
1083.00	0.0499
1084.00	0.0499
1085.00	0.0497
1086.00	0.0494
1087.00	0.0492
1088.00	0.0488
1089.00	0.0487
1090.00	0.0484
1091.00	0.0484
1092.00	0.0483
1093.00	0.0481
1094.00	0.0478
1095.00	0.0476
1096.00	0.0475
1097.00	0.0472
1098.00	0.0472
1099.00	0.0473
1100.00	0.0474
1101.00	0.0471
1102.00	0.0471
1103.00	0.0470
1104.00	0.0469
1105.00	0.0469
1106.00	0.0463
1107.00	0.0461
1108.00	0.0458
1109.00	0.0454
1110.00	0.0449
1111.00	0.0452
1112.00	0.0451
1113.00	0.0450
1114.00	0.0450
1115.00	0.0450
1116.00	0.0449
1117.00	0.0447
1118.00	0.0445
1119.00	0.0444
1120.00	0.0443
1121.00	0.0437
1122.00	0.0440
1123.00	0.0439
1124.00	0.0437
1125.00	0.0437
1126.00	0.0440
1127.00	0.0438
1128.00	0.0436
1129.00	0.0434
1130.00	0.0430
1131.00	0.0429
1132.00	0.0426
1133.00	0.0428
1134.00	0.0429
1135.00	0.0429
1136.00	0.0429
1137.00	0.0429
1138.00	0.0430
1139.00	0.0429
1140.00	0.0427
1141.00	0.0426
1142.00	0.0423
1143.00	0.0421
1144.00	0.0423
1145.00	0.0422
1146.00	0.0422
1147.00	0.0425
1148.00	0.0424
1149.00	0.0421
1150.00	0.0425
1151.00	0.0431
1152.00	0.0428
1153.00	0.0428
1154.00	0.0428
1155.00	0.0424
1156.00	0.0418
1157.00	0.0419
1158.00	0.0420
1159.00	0.0421
1160.00	0.0421
1161.00	0.0420
1162.00	0.0418
1163.00	0.0417
1164.00	0.0415
1165.00	0.0413
1166.00	0.0413
1167.00	0.0413
1168.00	0.0414
1169.00	0.0416
1170.00	0.0418
1171.00	0.0420
1172.00	0.0419
1173.00	0.0420
1174.00	0.0418
1175.00	0.0417
1176.00	0.0417
1177.00	0.0419
1178.00	0.0417
1179.00	0.0418
1180.00	0.0419
1181.00	0.0420
1182.00	0.0419
1183.00	0.0420
1184.00	0.0420
1185.00	0.0418
1186.00	0.0417
1187.00	0.0416
1188.00	0.0415
1189.00	0.0414
1190.00	0.0414
1191.00	0.0413
1192.00	0.0413
1193.00	0.0413
1194.00	0.0417
1195.00	0.0421
1196.00	0.0422
1197.00	0.0422
1198.00	0.0421
1199.00	0.0418
1200.00	0.0416
1201.00	0.0416
1202.00	0.0416
1203.00	0.0421
1204.00	0.0424
1205.00	0.0425
1206.00	0.0426
1207.00	0.0427
1208.00	0.0426
1209.00	0.0423
1210.00	0.0422
1211.00	0.0422
1212.00	0.0423
1213.00	0.0419
1214.00	0.0415
1215.00	0.0415
1216.00	0.0416
1217.00	0.0416
1218.00	0.0418
1219.00	0.0424
1220.00	0.0425
1221.00	0.0424
1222.00	0.0424
1223.00	0.0425
1224.00	0.0426
1225.00	0.0427
1226.00	0.0427
1227.00	0.0427
1228.00	0.0426
1229.00	0.0425
1230.00	0.0425
1231.00	0.0425
1232.00	0.0427
1233.00	0.0427
1234.00	0.0428
1235.00	0.0430
1236.00	0.0430
1237.00	0.0429
1238.00	0.0431
1239.00	0.0433
1240.00	0.0429
1241.00	0.0426
1242.00	0.0426
1243.00	0.0425
1244.00	0.0426
1245.00	0.0430
1246.00	0.0436
1247.00	0.0437
1248.00	0.0439
1249.00	0.0439
1250.00	0.0439
1251.00	0.0438
1252.00	0.0438
1253.00	0.0437
1254.00	0.0438
1255.00	0.0438
1256.00	0.0437
1257.00	0.0438
1258.00	0.0441
1259.00	0.0439
1260.00	0.0436
1261.00	0.0438
1262.00	0.0439
1263.00	0.0440
1264.00	0.0443
1265.00	0.0448
1266.00	0.0450
1267.00	0.0449
1268.00	0.0448
1269.00	0.0451
1270.00	0.0453
1271.00	0.0454
1272.00	0.0455
1273.00	0.0456
1274.00	0.0456
1275.00	0.0454
1276.00	0.0455
1277.00	0.0455
1278.00	0.0456
1279.00	0.0457
1280.00	0.0459
1281.00	0.0461
1282.00	0.0462
1283.00	0.0463
1284.00	0.0464
1285.00	0.0464
1286.00	0.0463
1287.00	0.0464
1288.00	0.0462
1289.00	0.0462
1290.00	0.0465
1291.00	0.0466
1292.00	0.0467
1293.00	0.0471
1294.00	0.0470
1295.00	0.0471
1296.00	0.0472
1297.00	0.0471
1298.00	0.0473
1299.00	0.0476
1300.00	0.0477
1301.00	0.0479
1302.00	0.0486
1303.00	0.0487
1304.00	0.0487
1305.00	0.0487
1306.00	0.0487
1307.00	0.0482
1308.00	0.0484
1309.00	0.0486
1310.00	0.0487
1311.00	0.0488
1312.00	0.0489
1313.00	0.0488
1314.00	0.0489
1315.00	0.0491
1316.00	0.0494
1317.00	0.0495
1318.00	0.0495
1319.00	0.0496
1320.00	0.0494
1321.00	0.0493
1322.00	0.0494
1323.00	0.0497
1324.00	0.0496
1325.00	0.0498
1326.00	0.0500
1327.00	0.0501
1328.00	0.0504
1329.00	0.0504
1330.00	0.0506
1331.00	0.0506
1332.00	0.0507
1333.00	0.0508
1334.00	0.0511
1335.00	0.0510
1336.00	0.0513
1337.00	0.0515
1338.00	0.0515
1339.00	0.0516
1340.00	0.0519
1341.00	0.0521
1342.00	0.0521
1343.00	0.0522
1344.00	0.0520
1345.00	0.0522
1346.00	0.0521
1347.00	0.0522
1348.00	0.0525
1349.00	0.0528
1350.00	0.0527
1351.00	0.0529
1352.00	0.0530
1353.00	0.0530
1354.00	0.0533
1355.00	0.0534
1356.00	0.0536
1357.00	0.0539
1358.00	0.0542
1359.00	0.0544
1360.00	0.0548
1361.00	0.0550
1362.00	0.0551
1363.00	0.0551
1364.00	0.0552
1365.00	0.0553
1366.00	0.0552
1367.00	0.0554
1368.00	0.0556
1369.00	0.0558
1370.00	0.0559
1371.00	0.0564
1372.00	0.0566
1373.00	0.0568
1374.00	0.0570
1375.00	0.0570
1376.00	0.0572
1377.00	0.0573
1378.00	0.0577
1379.00	0.0577
1380.00	0.0580
1381.00	0.0582
1382.00	0.0583
1383.00	0.0585
1384.00	0.0587
1385.00	0.0589
1386.00	0.0589
1387.00	0.0590
1388.00	0.0590
1389.00	0.0595
1390.00	0.0591
1391.00	0.0586
1392.00	0.0588
1393.00	0.0583
1394.00	0.0581
1395.00	0.0589
1396.00	0.0598
1397.00	0.0602
1398.00	0.0611
1399.00	0.0613
1400.00	0.0615
1401.00	0.0616
1402.00	0.0618
1403.00	0.0620
1404.00	0.0622
1405.00	0.0624
1406.00	0.0628
1407.00	0.0630
1408.00	0.0633
1409.00	0.0636
1410.00	0.0638
1411.00	0.0638
1412.00	0.0638
1413.00	0.0639
1414.00	0.0640
1415.00	0.0643
1416.00	0.0645
1417.00	0.0647
1418.00	0.0648
1419.00	0.0650
1420.00	0.0650
1421.00	0.0652
1422.00	0.0656
1423.00	0.0658
1424.00	0.0659
1425.00	0.0662
1426.00	0.0666
1427.00	0.0666
1428.00	0.0668
1429.00	0.0669
1430.00	0.0672
1431.00	0.0672
1432.00	0.0676
1433.00	0.0679
1434.00	0.0681
1435.00	0.0683
1436.00	0.0685
1437.00	0.0686
1438.00	0.0690
1439.00	0.0692
1440.00	0.0693
1441.00	0.0695
1442.00	0.0692
1443.00	0.0687
1444.00	0.0689
1445.00	0.0689
1446.00	0.0689
1447.00	0.0694
1448.00	0.0702
1449.00	0.0704
1450.00	0.0708
1451.00	0.0712
1452.00	0.0711
1453.00	0.0713
1454.00	0.0716
1455.00	0.0716
1456.00	0.0717
1457.00	0.0722
1458.00	0.0724
1459.00	0.0726
1460.00	0.0728
1461.00	0.0730
1462.00	0.0733
1463.00	0.0735
1464.00	0.0735
1465.00	0.0736
1466.00	0.0737
1467.00	0.0737
1468.00	0.0740
1469.00	0.0742
1470.00	0.0747
1471.00	0.0753
1472.00	0.0756
1473.00	0.0757
1474.00	0.0761
1475.00	0.0761
1476.00	0.0758
1477.00	0.0761
1478.00	0.0761
1479.00	0.0765
1480.00	0.0767
1481.00	0.0770
1482.00	0.0773
1483.00	0.0778
1484.00	0.0778
1485.00	0.0782
1486.00	0.0785
1487.00	0.0785
1488.00	0.0788
1489.00	0.0791
1490.00	0.0791
1491.00	0.0793
1492.00	0.0796
1493.00	0.0798
1494.00	0.0800
1495.00	0.0803
1496.00	0.0806
1497.00	0.0810
1498.00	0.0808
1499.00	0.0810
1500.00	0.0811
1501.00	0.0814
1502.00	0.0816
1503.00	0.0820
1504.00	0.0823
1505.00	0.0829
1506.00	0.0831
1507.00	0.0833
1508.00	0.0837
1509.00	0.0838
1510.00	0.0840
1511.00	0.0842
1512.00	0.0844
1513.00	0.0845
1514.00	0.0848
1515.00	0.0850
1516.00	0.0851
1517.00	0.0854
1518.00	0.0856
1519.00	0.0856
1520.00	0.0854
1521.00	0.0858
1522.00	0.0859
1523.00	0.0863
1524.00	0.0867
1525.00	0.0872
1526.00	0.0877
1527.00	0.0877
1528.00	0.0879
1529.00	0.0881
1530.00	0.0880
1531.00	0.0882
1532.00	0.0885
1533.00	0.0885
1534.00	0.0888
1535.00	0.0893
1536.00	0.0893
1537.00	0.0896
1538.00	0.0899
1539.00	0.0899
1540.00	0.0902
1541.00	0.0905
1542.00	0.0906
1543.00	0.0911
1544.00	0.0915
1545.00	0.0918
1546.00	0.0922
1547.00	0.0923
1548.00	0.0925
1549.00	0.0928
1550.00	0.0930
1551.00	0.0931
