"20-30mM-1_Xylene0mM - RawData"
"Wavelength nm."	"Abs."
300.00	0.0391
301.00	0.0390
302.00	0.0387
303.00	0.0384
304.00	0.0381
305.00	0.0378
306.00	0.0375
307.00	0.0374
308.00	0.0376
309.00	0.0376
310.00	0.0374
311.00	0.0368
312.00	0.0369
313.00	0.0365
314.00	0.0362
315.00	0.0364
316.00	0.0369
317.00	0.0366
318.00	0.0365
319.00	0.0365
320.00	0.0364
321.00	0.0363
322.00	0.0362
323.00	0.0362
324.00	0.0364
325.00	0.0364
326.00	0.0366
327.00	0.0368
328.00	0.0371
329.00	0.0370
330.00	0.0369
331.00	0.0364
332.00	0.0357
333.00	0.0357
334.00	0.0360
335.00	0.0372
336.00	0.0392
337.00	0.0404
338.00	0.0407
339.00	0.0410
340.00	0.0410
341.00	0.0403
342.00	0.0406
343.00	0.0410
344.00	0.0410
345.00	0.0410
346.00	0.0411
347.00	0.0414
348.00	0.0417
349.00	0.0421
350.00	0.0426
351.00	0.0430
352.00	0.0435
353.00	0.0441
354.00	0.0446
355.00	0.0450
356.00	0.0455
357.00	0.0462
358.00	0.0469
359.00	0.0473
360.00	0.0476
361.00	0.0477
362.00	0.0473
363.00	0.0480
364.00	0.0493
365.00	0.0512
366.00	0.0521
367.00	0.0534
368.00	0.0535
369.00	0.0534
370.00	0.0528
371.00	0.0532
372.00	0.0537
373.00	0.0544
374.00	0.0550
375.00	0.0556
376.00	0.0562
377.00	0.0567
378.00	0.0572
379.00	0.0576
380.00	0.0582
381.00	0.0588
382.00	0.0591
383.00	0.0598
384.00	0.0605
385.00	0.0611
386.00	0.0621
387.00	0.0633
388.00	0.0642
389.00	0.0651
390.00	0.0661
391.00	0.0669
392.00	0.0678
393.00	0.0684
394.00	0.0690
395.00	0.0697
396.00	0.0703
397.00	0.0708
398.00	0.0716
399.00	0.0725
400.00	0.0731
401.00	0.0740
402.00	0.0749
403.00	0.0760
404.00	0.0769
405.00	0.0779
406.00	0.0789
407.00	0.0799
408.00	0.0807
409.00	0.0816
410.00	0.0824
411.00	0.0835
412.00	0.0844
413.00	0.0853
414.00	0.0865
415.00	0.0877
416.00	0.0890
417.00	0.0902
418.00	0.0915
419.00	0.0926
420.00	0.0936
421.00	0.0945
422.00	0.0957
423.00	0.0968
424.00	0.0979
425.00	0.0989
426.00	0.0998
427.00	0.1007
428.00	0.1018
429.00	0.1029
430.00	0.1041
431.00	0.1055
432.00	0.1069
433.00	0.1083
434.00	0.1098
435.00	0.1113
436.00	0.1128
437.00	0.1143
438.00	0.1159
439.00	0.1175
440.00	0.1191
441.00	0.1203
442.00	0.1217
443.00	0.1233
444.00	0.1250
445.00	0.1266
446.00	0.1285
447.00	0.1304
448.00	0.1321
449.00	0.1336
450.00	0.1354
451.00	0.1373
452.00	0.1390
453.00	0.1408
454.00	0.1427
455.00	0.1446
456.00	0.1465
457.00	0.1484
458.00	0.1504
459.00	0.1524
460.00	0.1543
461.00	0.1564
462.00	0.1586
463.00	0.1606
464.00	0.1628
465.00	0.1648
466.00	0.1669
467.00	0.1688
468.00	0.1710
469.00	0.1730
470.00	0.1751
471.00	0.1772
472.00	0.1794
473.00	0.1816
474.00	0.1838
475.00	0.1860
476.00	0.1882
477.00	0.1904
478.00	0.1925
479.00	0.1946
480.00	0.1968
481.00	0.1989
482.00	0.2010
483.00	0.2029
484.00	0.2049
485.00	0.2071
486.00	0.2091
487.00	0.2110
488.00	0.2128
489.00	0.2146
490.00	0.2165
491.00	0.2182
492.00	0.2201
493.00	0.2223
494.00	0.2243
495.00	0.2262
496.00	0.2282
497.00	0.2300
498.00	0.2318
499.00	0.2336
500.00	0.2353
501.00	0.2370
502.00	0.2387
503.00	0.2404
504.00	0.2422
505.00	0.2441
506.00	0.2458
507.00	0.2476
508.00	0.2493
509.00	0.2510
510.00	0.2525
511.00	0.2540
512.00	0.2555
513.00	0.2568
514.00	0.2580
515.00	0.2591
516.00	0.2601
517.00	0.2610
518.00	0.2617
519.00	0.2623
520.00	0.2631
521.00	0.2638
522.00	0.2646
523.00	0.2653
524.00	0.2656
525.00	0.2656
526.00	0.2656
527.00	0.2654
528.00	0.2654
529.00	0.2655
530.00	0.2658
531.00	0.2664
532.00	0.2662
533.00	0.2661
534.00	0.2659
535.00	0.2658
536.00	0.2651
537.00	0.2653
538.00	0.2653
539.00	0.2656
540.00	0.2658
541.00	0.2661
542.00	0.2664
543.00	0.2666
544.00	0.2668
545.00	0.2670
546.00	0.2671
547.00	0.2673
548.00	0.2675
549.00	0.2675
550.00	0.2676
551.00	0.2676
552.00	0.2674
553.00	0.2672
554.00	0.2668
555.00	0.2661
556.00	0.2654
557.00	0.2645
558.00	0.2633
559.00	0.2621
560.00	0.2606
561.00	0.2590
562.00	0.2576
563.00	0.2560
564.00	0.2541
565.00	0.2523
566.00	0.2501
567.00	0.2477
568.00	0.2452
569.00	0.2426
570.00	0.2400
571.00	0.2373
572.00	0.2348
573.00	0.2323
574.00	0.2298
575.00	0.2272
576.00	0.2246
577.00	0.2220
578.00	0.2194
579.00	0.2170
580.00	0.2147
581.00	0.2126
582.00	0.2105
583.00	0.2086
584.00	0.2067
585.00	0.2050
586.00	0.2034
587.00	0.2019
588.00	0.2005
589.00	0.1991
590.00	0.1979
591.00	0.1967
592.00	0.1957
593.00	0.1948
594.00	0.1940
595.00	0.1932
596.00	0.1923
597.00	0.1916
598.00	0.1909
599.00	0.1902
600.00	0.1893
601.00	0.1885
602.00	0.1876
603.00	0.1866
604.00	0.1853
605.00	0.1840
606.00	0.1825
607.00	0.1808
608.00	0.1787
609.00	0.1765
610.00	0.1742
611.00	0.1718
612.00	0.1692
613.00	0.1662
614.00	0.1629
615.00	0.1595
616.00	0.1559
617.00	0.1526
618.00	0.1491
619.00	0.1456
620.00	0.1419
621.00	0.1380
622.00	0.1339
623.00	0.1301
624.00	0.1263
625.00	0.1223
626.00	0.1182
627.00	0.1143
628.00	0.1102
629.00	0.1064
630.00	0.1027
631.00	0.0993
632.00	0.0955
633.00	0.0918
634.00	0.0881
635.00	0.0847
636.00	0.0815
637.00	0.0785
638.00	0.0757
639.00	0.0731
640.00	0.0705
641.00	0.0679
642.00	0.0657
643.00	0.0637
644.00	0.0618
645.00	0.0598
646.00	0.0579
647.00	0.0563
648.00	0.0547
